"","value","n"
"254","S32.811A               ",1
"255","S32.9XXA                ",2
"256","S33.2XXA               ",2
"257","S37.23XA               ",1
"258","S40.012A                ",1
"259","S40.212A                ",1
"260","S42.002A                ",1
"261","S42.013A                ",1
"262","S42.022A                ",1
"263","S42.031A               ",1
"264","S42.033B                ",1
"265","S42.112A                ",1
"266","S42.291A               ",1
"267","S42.352B                ",1
"268","S43.002A               ",1
"269","S50.01XA                ",1
"270","S50.312A               ",1
"271","S50.812A                ",1
"272","S51.812A                ",1
"273","S52.122A               ",1
"274","S52.252A                ",1
"275","S52.572A                ",1
"276","S60.212A                ",1
"277","S60.411A                ",1
"278","S60.511A                ",1
"279","S60.512A                ",2
"280","S60.519A               ",1
"281","S61.411A                ",1
"282","S61.412A                ",1
"283","S62.002A                ",1
"284","S62.021A               ",1
"285","S62.021A                ",1
"286","S62.111A               ",1
"287","S63.095A                ",1
"288","S70.01XA                ",2
"289","S70.02XA                ",2
"290","S70.311A               ",1
"291","S70.311A                ",1
"292","S70.312A                ",1
"293","S72.142A                ",1
"294","S72.431A                ",1
"295","S73.004A               ",1
"296","S73.005A               ",1
"297","S80.11XA                ",1
"298","S80.12XA                ",1
"299","S80.212A                ",2
"300","S80.812A               ",1
"301","S80.812A                ",1
"302","S82.001A                ",1
"303","S82.091A               ",1
"304","S82.302A                ",1
"305","S82.402A                ",1
"306","S82.55XA                ",1
"307","S92.041A               ",1
"308","S92.191A               ",1
"309","S92.351A               ",1
"310","S98.121A                ",1
"311","T14.8XXA                ",4
"312","T79.7XXA               ",1
